word,frequency
दस,79
रो,79
डॉक्टर,79
आसपास,79
सैनिक,78
राज्य,78
विकल्प,78
स्वीकार,78
अस्पताल,78
जॉन,78
आश्चर्य,77
जानकारी,77
कोड,76
तेजी,76
प्रिय,76
समुद्र,76
जिंदा,76
चुन,76
पेला,76
सेवा,75
खराब,75
पढ़,75
सवारी,75
विंसेंट,75
बड़ा,75
राष्ट्रपति,74
चाल,74
आत्मा,74
प्रकार,74
सीधे,73
दूंगा,73
कुत्ता,73
हालांकि,73
ख्याल,73
कप्तान,73
अनुमति,72
खिलाफ,72
आवश्यकता,71
आंख,71
मजबूत,71
छह,71
गला,71
मील,71
देवता,71
सुनिश्चित,70
नियंत्रण,70
प्रेज़ीडेंट,70
पीठ,70
हरा,70
खर्च,70
मुँह,70
तुरंत,70
अधिकार,70
मुसीबत,69
राहुल,69
सामान्य,69
सौदा,69
भोजन,69
भाड़,69
संपर्क,69
सूट,69
इच्छा,69
गायब,69
गर्म,69
हजार,69
स्थान,69
गति,68
जितना,68
खेद,68
पहचान,68
तेरा,68
हटा,68
मुक्त,67
तस्वीर,67
हाय,67
तय,67
नंबर,67
जला,67
प्रभु,67
छोड़,67
जंगल,67
उड़ा,66
अधिकारी,66
साहब,66
जादू,66
हार,66
वक्त,66
बाल,66
युवा,66
परमाणु,66
बिजली,66
साथी,66
कुतिया,65
लाख,65
कठिन,65
सात,65
एम,64
शान्ति,64
लायक,64
होटल,64
बजे,64
खूबसूरत,64
हैलो,64
रिपोर्ट,63
रंग,63
सीख,63
बेशक,63
चाचा,63
चीज़,63
उडान,63
प्रवेश,62
जांच,62
बीमार,62
सक्षम,62
भविष्य,62
ज़्यादा,62
विशेष,61
निर्णय,61
खाली,61
भाग्यशाली,61
बर्ट,61
मना,61
जबकि,61
लेफ्टिनेंट,61
पक्ष,61
हँस,61
वाह,60
आह,60
सैम,60
मृत्यु,60
पीछा,60
समुद्री,60
माता,60
जिम,60
लड़क,60
बिस्तर,60
पकड़ा,60
इमारत,60
दवा,60
हफ्ता,59
जन्मदिन,59
निर्माण,59
धीरे,59
गड़बडफ़,59
नही,59
तेज,59
ताकि,59
मम्मी,59
विमान,58
अलावा,58
भावना,58
चुरा,58
गंभीर,58
पकड़,58
जंग,58
लाल,58
माँग,58
दुख,58
भयानक,57
भाग्य,57
खिड़की,57
छत,57
सेकंड,57
डॉलर,57
कल्पना,57
नुकसान,57
स्कॉट,56
मनुष्य,56
चिंतित,56
सरकार,56
उच्च,56
योद्धा,56
रानी,56
कार्य,56
लानत,56
खास,56
गाँव,56
भारी,56
पे,56
एलन,55
मछली,55
संभव,55
धोखा,55
ओक्जा,55
ड्राइव,55
इंदु,55
शानदार,55
कानून,55
गहरा,55
कार्यालय,55
साइकिल,55
दूरी,55
तुमको,55
आनंद,55
गर्व,54
गिरफ्तार,54
इंसान,54
रेडियो,54
पश्चिम,54
प्रेमी,54
ऊर्जा,54
करूँगा,54
बिता,54
तौर,54
कार्ड,54
ट्रेवर,54
अलविदा,54
राक्षस,53
आखिरी,53
बम,53
तलाश,53
कपड़ा,53
नियम,53
डाकू,53
भीतर,53
अध्यक्ष,53
बैग,53
बॉस,53
कॉफी,53
फोोन,53
अपराध,52
शॉन,52
लेडी,52
उम्र,52
दक्षिण,52
रक्त,52
बैंक,52
प्रति,52
प्रिया,52
दौरान,52
कमांडर,52
स्वान,51
जमीन,51
हिम्मत,51
दल,51
शराब,51
उतर,51
जानवर,51
राजकुमारी,51
यीशु,51
सामना,51
खतरनाक,51
मैडम,51
इतिहास,50
इलाज,50
बारी,50
शर्त,50
देखभाल,50
घूम,50
परिवर्तन,50
जन्म,50
वकील,50
मुख्य,50
अचानक,50
कसम,50
ए,50
शो,50
खयाल,50
मांग,50
परीक्षण,49
एजेंट,49
सेट,49
छू,49
प्रकाश,49
दिला,49
घोड़ा,49
पाँच,49
मातृभाषा,49
संकेत,49
सज्जन,49
नज़र,49
हिरण,49
फैसला,48
सहमत,48
सीट,48
साबित,48
प्रतीक्षा,48
सीमा,48
एल,48
भला,48
कमजोर,48
